unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-aa435212ef4d,F00001,(front-matter),1,1,55,55,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-aa435212ef4d,8374db51ff55f77d74f062168cde15f5cb328bb87f1d0d37f16862968bf872e7,,U-646da92f10b7,47,69,PENDING,222c88fb0f583396b4ed2ba563de5a0bff92595d24e991a69b02f2c02b4ccaec,,,NOT_RUN,NOT_RUN,
U-646da92f10b7,F00001,质点运动学,1,56,57,2,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-646da92f10b7,e2c79bbbd4d52a64fac2492eba0e785191d02a76da348daaec7b9979eef16b33,U-aa435212ef4d,U-ed1a94537f6d,0,1,SKIPPED_PROTECTED,2198fd832478c330d5c082982d107769eefc3963e06a49975b2481e786ca9fb9,,,NOT_RUN,NOT_RUN,
U-ed1a94537f6d,F00001,质点运动学 / 位置矢量,1,58,82,25,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-ed1a94537f6d,1e8fecc4ed1d5bf7313f6487bcd8b31195319f2db09217d09cf735fea55c4ad4,U-646da92f10b7,U-ce3d3487f98c,0,2,SKIPPED_PROTECTED,c182e702cbefd3dcc80cb1b49da81b5261b315945c52c81c8b5028c6c718113d,,,NOT_RUN,NOT_RUN,
U-ce3d3487f98c,F00001,质点运动学 / 切向加速度/法向加速度,1,83,244,162,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-ce3d3487f98c,74412d85ba987be9d3f811ab1dd6498ccb4a9b3751e0aac369f06d129ea02be2,U-ed1a94537f6d,U-d3976169c4f3,777,132,PENDING,8e44e3a4f146bcf6025b923912f827400c331f48804f83eb3ff6154b7e1864f5,,,NOT_RUN,NOT_RUN,
U-d3976169c4f3,F00001,质点动力学基础,1,245,246,2,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-d3976169c4f3,caaad2c24702bdece502819ba2329afb1ea3d80076f7f43a765585453dde81a7,U-ce3d3487f98c,U-44d7754f7bea,0,1,SKIPPED_PROTECTED,f278ec0879a544efafda161cfc06efdd22365efc8cb607d7df2f93a45c2f0572,,,NOT_RUN,NOT_RUN,
U-44d7754f7bea,F00001,质点动力学基础 / 惯性与惯性系,1,247,446,200,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-44d7754f7bea,e71d840f0db29ae9eacfdbf84656682be04009641a464a24eecdb30726d2ebca,U-d3976169c4f3,U-9a738d92f17c,1318,198,PENDING,66dca729b0a6c7a1c3c0a4ace24a346b822ad633eef982821d00c208a2ec8b4e,,,NOT_RUN,NOT_RUN,
U-9a738d92f17c,F00001,三大守恒定律,1,447,450,4,GENERAL,AUTO,COURSE,FALLBACK_GENERAL,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,BALANCED,U-9a738d92f17c,1ea85654318b460b917e165d2c3dc3f35f8722f5572e1eb98f0d7b162a1132e5,U-44d7754f7bea,U-d89844bec906,0,1,SKIPPED_PROTECTED,9d12a9c6acd23cf50931582b90fdb4562e115d9f13607b2791eec7ed6698eb3f,,,NOT_RUN,NOT_RUN,
U-d89844bec906,F00001,三大守恒定律 / 动量与动量守恒,1,451,624,174,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,8,8,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-d89844bec906,d7a0e36c63c48a89c397a8159fe23f14b78cc31d503dbb1ff7f5e700aeec5f4b,U-9a738d92f17c,U-5a46996ce9b1,2140,201,PENDING,5e956ed1d6af95622f6301e0f9050cba29efc4677fb6def63c2d2c6fab971b2f,,,NOT_RUN,NOT_RUN,
U-5a46996ce9b1,F00001,三大守恒定律 / 质心：为什么系统还能用一个点代表整体平移,1,625,669,45,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,2,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-5a46996ce9b1,b4ade724cce26e47bd051a929f092a5373278408f82178387d6eda768163ef2e,U-d89844bec906,U-93a175ff5d21,501,46,PENDING,ecc8eff76759ab26bb497c3d2619690cbfcc8042ce18ed49137a6832eef5e68f,,,NOT_RUN,NOT_RUN,
U-93a175ff5d21,F00001,三大守恒定律 / 变力做功,1,670,752,83,COURSE,AUTO,COURSE,ROUTED,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,4,4,scene-default-course,1,DEFAULT,DEFAULT,SCENE_DEFAULT,COURSE,e8271e953d604cab9c4b4c0b6dd670d69145c0e44ee46c1ea5d40410903ce16c,True,REWRITE,BALANCED,U-93a175ff5d21,296988e6c1c170cedf32cb941f76ee4fdcc5b186998520cf421e11ca09053fc3,U-5a46996ce9b1,U-5a952dcdf732,1054,116,PENDING,aa197b71c3ae69ffe1eb95e5e61ba145d559cc70fd8f8c2f78f04957e51b2bb7,,,NOT_RUN,NOT_RUN,
