unit_id,file_id,heading_path,part,start_line,end_line,line_count,scene,scene_requested,scene_document_prior,scene_routing_decision,scene_routing_policy_sha256,scene_routing_policy_revision,scene_routing_top_score,scene_routing_margin,voice_profile_id,voice_profile_revision,voice_profile_confidence,voice_profile_kind,voice_profile_source,voice_profile_binding_scene,voice_profile_sha256,voice_default_disclosure,mode,intensity,structural_plan_status,owner_chunk,chunk_binding_sha256,context_before_unit,context_after_unit,author_chars,protected_spans,status,hash_before,hash_after,diff_path,protected_hashes_ok,style_validation,notes
U-4a7c8f05a521,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 9,1,247,252,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-4a7c8f05a521,8b5cb73920384fbb583156725904c33fe528c4017b451d65a5e46282064c5f57,U-13bc379f1e38,U-dedc7b266beb,0,3,SKIPPED_PROTECTED,b45fc1bc424214b133d3377d617cc4ae98918eaaf4a3aeba846a93540f1da374,,,NOT_RUN,NOT_RUN,
U-dedc7b266beb,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 10,1,253,258,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-dedc7b266beb,a5f391fc19963860e88cae016b11525da018d110dc89de24c037cf387df5d1b6,U-4a7c8f05a521,U-e1de7fd99646,0,3,SKIPPED_PROTECTED,eac02957addb8ab0162c5486d925313b424c36ad52de2148e943fd6759c29fa5,,,NOT_RUN,NOT_RUN,
U-e1de7fd99646,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 11,1,259,264,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-e1de7fd99646,587614045918a26d897f0d4a49b7709240b8efc0385ac7aa9e7853444a1c4a22,U-dedc7b266beb,U-c971528df65e,0,3,SKIPPED_PROTECTED,f14d687ee753a36ce547cabe8a6d4ed0b70b59cf8478b3487f79ddb840488868,,,NOT_RUN,NOT_RUN,
U-c971528df65e,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 12,1,265,270,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-c971528df65e,da7bdbca157151d4f47cbf71424a0ad075132e5cbb570d1abeee6acc5eda7424,U-e1de7fd99646,U-3e6ba6f56523,0,3,SKIPPED_PROTECTED,9e087cb2dcdf666906c5a45a7783657bb19a3812aea8c95eea63b08667972aec,,,NOT_RUN,NOT_RUN,
U-3e6ba6f56523,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 13,1,271,276,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-3e6ba6f56523,813dca4f33e1919b5287ffc4960f8d1882913961439094a10f51ed32c1b010e3,U-c971528df65e,U-90c8e90cb616,0,3,SKIPPED_PROTECTED,edefdb091e1148c51ccbdeb4932d0319b7861f79eca5a1b2e01734b898270479,,,NOT_RUN,NOT_RUN,
U-90c8e90cb616,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 14,1,277,282,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-90c8e90cb616,14302dd99d21a190046137e839bd249b3de8ffe006dd4f597c3a6f81fdd72ccd,U-3e6ba6f56523,U-5f5d7048f374,0,3,SKIPPED_PROTECTED,c920271edf928ccf7330afe2fc7bfeff5d6989321c6fc3a49a97004bf8c4b687,,,NOT_RUN,NOT_RUN,
U-5f5d7048f374,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 15,1,283,288,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-5f5d7048f374,412498d5d6b7c4961125b7541e36c6151d7b8d77e864674fd1ce16f46b9e075c,U-90c8e90cb616,U-00eb2ae821a7,0,3,SKIPPED_PROTECTED,6d656df06c073bcc2a7493a5ceaa207a70fe15b14f5045c3dbc6870398c54f29,,,NOT_RUN,NOT_RUN,
U-00eb2ae821a7,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 16,1,289,294,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-00eb2ae821a7,e6f69d9851854042bb911a791bedeafdef20ceed175c269a6ae97710238c6056,U-5f5d7048f374,U-586d0bc6c649,0,3,SKIPPED_PROTECTED,643dd392390be1040dbb390573ff0afad6c289887d95087d97c91bc930dd1874,,,NOT_RUN,NOT_RUN,
U-586d0bc6c649,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 17,1,295,300,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-586d0bc6c649,355cb727f236c62ae5fdce367b03db191605d5bfa06b7d7ad67757660ddec0e4,U-00eb2ae821a7,U-f1457aeaa160,0,3,SKIPPED_PROTECTED,2de919a29d20947e1cc1851bf0e0f97db386965f6e4e7697474118a21bcfa63b,,,NOT_RUN,NOT_RUN,
U-f1457aeaa160,F00001,GPT/Codex 中文风格深度语料报告 / 9. 真实脱敏原文证据 / 证据 18,1,301,306,6,GENERAL,GENERAL,,EXPLICIT,8d0f916d91b5753fd94d358c4b32e9a6c02b1f30120f43b4cbb2165dc1684450,2,0,0,scene-default-general,1,DEFAULT,DEFAULT,SCENE_DEFAULT,GENERAL,3b4eeeaeb3af397378ead360550371ff4632cbce6fceca8923479c53de23a112,True,REWRITE,STRUCTURAL,NOT_RUN,U-f1457aeaa160,e0af88836fb102b5b837fd1aaba96bf5101955204e414f61be1752a23a0a239d,U-586d0bc6c649,U-0736d68c4842,0,3,SKIPPED_PROTECTED,2b31563d676528a80ac3015de835f5e379658243e932cee5792d65b573def982,,,NOT_RUN,NOT_RUN,
