anchor_question,target_question,condition_type,condition_value,support_count,support_pct,target_best_30_window,target_best_30_coverage_pct,target_best_40_window,target_best_40_coverage_pct,target_best_50_window,target_best_50_coverage_pct,base_best_30_window,base_best_30_coverage_pct,base_best_40_window,base_best_40_coverage_pct,base_best_50_window,base_best_50_coverage_pct,gain_30_pct,gain_40_pct,gain_50_pct,target_median_pct
45,38,band20,20-40%,8,13.56,0-30%,62.5,0-40%,62.5,0-50%,62.5,0-30%,44.07,0-40%,45.76,0-50%,54.24,18.43,16.74,8.26,25.0
37,38,band20,60-80%,16,27.12,0-30%,56.25,0-40%,62.5,0-50%,75.0,0-30%,44.07,0-40%,45.76,0-50%,54.24,12.18,16.74,20.76,27.09
36,38,band20,60-80%,8,13.56,0-30%,50.0,10-50%,62.5,0-50%,62.5,0-30%,44.07,0-40%,45.76,0-50%,54.24,5.93,16.74,8.26,36.98
38,37,half,后半区,27,45.76,0-30%,66.67,0-40%,74.07,0-50%,77.78,0-30%,40.68,10-50%,57.63,0-50%,62.71,25.99,16.44,15.07,20.83
39,37,band20,20-40%,23,38.98,10-40%,69.57,0-40%,73.91,10-60%,82.61,0-30%,40.68,10-50%,57.63,0-50%,62.71,28.89,16.28,19.9,19.23
45,44,band20,80-100%,16,27.12,10-40%,56.25,0-40%,68.75,0-50%,81.25,10-40%,42.37,0-40%,52.54,0-50%,61.02,13.88,16.21,20.23,30.91
40,36,band20,60-80%,9,15.25,20-50%,77.78,10-50%,88.89,10-60%,100.0,20-50%,62.71,10-50%,72.88,10-60%,81.36,15.07,16.01,18.64,32.35
42,41,band20,0-20%,15,25.42,40-70%,53.33,40-80%,60.0,40-90%,80.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,16.04,15.93,18.98,60.71
38,41,band20,40-60%,10,16.95,70-100%,50.0,60-100%,60.0,50-100%,60.0,20-50%,37.29,20-60%,44.07,40-90%,61.02,12.71,15.93,-1.02,73.33
42,41,half,前半区,35,59.32,70-100%,48.57,60-100%,60.0,40-90%,71.43,20-50%,37.29,20-60%,44.07,40-90%,61.02,11.28,15.93,10.41,68.18
39,40,band20,40-60%,12,20.34,0-30%,58.33,0-40%,66.67,0-50%,66.67,20-50%,38.98,10-50%,50.85,10-60%,61.02,19.35,15.82,5.65,25.96
44,40,band20,20-40%,18,30.51,30-60%,55.56,10-50%,66.67,10-60%,83.33,20-50%,38.98,10-50%,50.85,10-60%,61.02,16.58,15.82,22.31,45.83
38,40,band20,80-100%,9,15.25,10-40%,55.56,10-50%,66.67,10-60%,77.78,20-50%,38.98,10-50%,50.85,10-60%,61.02,16.58,15.82,16.76,34.62
42,40,band20,60-80%,12,20.34,30-60%,50.0,30-70%,66.67,20-70%,75.0,20-50%,38.98,10-50%,50.85,10-60%,61.02,11.02,15.82,13.98,45.83
44,38,band20,0-20%,13,22.03,60-90%,53.85,60-100%,61.54,40-90%,61.54,0-30%,44.07,0-40%,45.76,0-50%,54.24,9.78,15.78,7.3,65.38
42,37,band20,0-20%,15,25.42,10-40%,66.67,10-50%,73.33,10-60%,86.67,0-30%,40.68,10-50%,57.63,0-50%,62.71,25.99,15.7,23.96,25.0
44,45,band20,80-100%,12,20.34,40-70%,75.0,30-70%,75.0,20-70%,83.33,60-90%,50.85,50-90%,59.32,40-90%,71.19,24.15,15.68,12.14,44.59
43,45,band20,0-20%,12,20.34,40-70%,66.67,30-70%,75.0,20-70%,83.33,60-90%,50.85,50-90%,59.32,40-90%,71.19,15.82,15.68,12.14,45.5
44,45,half,前半区,36,61.02,60-90%,63.89,50-90%,75.0,50-100%,86.11,60-90%,50.85,50-90%,59.32,40-90%,71.19,13.04,15.68,14.92,71.95
39,45,band20,0-20%,8,13.56,60-90%,62.5,50-90%,75.0,40-90%,75.0,60-90%,50.85,50-90%,59.32,40-90%,71.19,11.65,15.68,3.81,65.59
37,43,band20,0-20%,17,28.81,50-80%,47.06,40-80%,64.71,30-80%,64.71,50-80%,37.29,40-80%,49.15,50-100%,59.32,9.77,15.56,5.39,56.67
